sample,metric,TP,FP,FN,prec,rec,f1
SAMN04014860,pan_ske_diff,0,3482,76364,0.0,0.0,0.0
SAMN04014860,pan_uni_diff,0,3458,76664,0.0,0.0,0.0
SAMN04014860,pan_ass_diff,0,3409,76889,0.0,0.0,0.0
SAMN04014856,pangenome_mix,161959,14083,126361,0.92,0.562,0.698
SAMN04014856,pangenome_skes,140852,35190,122172,0.8,0.536,0.642
SAMN04014856,pangenome_uni,139951,36091,99490,0.795,0.584,0.674
SAMN04014856,skesa,150275,14083,114192,0.914,0.568,0.701
SAMN04014856,unicycler,193041,128974,48697,0.599,0.799,0.685
SAMN04014856,pan_ske_diff,49022,21107,214002,0.699,0.186,0.294
SAMN04014856,pan_uni_diff,0,33577,239441,0.0,0.0,0.0
SAMN04014856,pan_ass_diff,4035,0,284285,1.0,0.014,0.028
SAMN02991226,pangenome_mix,291473,320772,27327,0.476,0.914,0.626
SAMN02991226,pangenome_skes,259233,353012,20992,0.423,0.925,0.581
SAMN02991226,pangenome_uni,244568,367677,10056,0.399,0.961,0.564
SAMN02991226,skesa,232063,77557,67880,0.75,0.774,0.761
SAMN02991226,unicycler,249540,259887,26099,0.49,0.905,0.636
SAMN02991226,pan_ske_diff,50195,264586,230030,0.159,0.179,0.169
SAMN02991226,pan_uni_diff,16572,159290,238052,0.094,0.065,0.077
SAMN02991226,pan_ass_diff,31541,52260,287259,0.376,0.099,0.157
SAMN07312483,pangenome_mix,456928,1091060,15570,0.295,0.967,0.452
SAMN07312483,pangenome_skes,442785,1105203,11983,0.286,0.974,0.442
SAMN07312483,pangenome_uni,436666,1111322,9809,0.282,0.978,0.438
SAMN07312483,skesa,461579,26389,6677,0.946,0.986,0.965
SAMN07312483,unicycler,434739,1461945,22039,0.229,0.952,0.369
SAMN07312483,pan_ske_diff,1687,1097054,453081,0.002,0.004,0.002
SAMN07312483,pan_uni_diff,15724,533243,430751,0.029,0.035,0.032
SAMN07312483,pan_ass_diff,876,507253,471622,0.002,0.002,0.002
SAMEA3357080,pangenome_mix,417902,682811,13773,0.38,0.968,0.545
SAMEA3357080,pangenome_skes,407457,693256,11535,0.37,0.972,0.536
SAMEA3357080,pangenome_uni,406838,693875,5600,0.37,0.986,0.538
SAMEA3357080,skesa,431591,258238,8976,0.626,0.98,0.764
SAMEA3357080,unicycler,426535,1395121,3940,0.234,0.991,0.379
SAMEA3357080,pan_ske_diff,3450,609893,415542,0.006,0.008,0.007
SAMEA3357080,pan_uni_diff,115,149399,412323,0.001,0.0,0.0
SAMEA3357080,pan_ass_diff,177,129948,431498,0.001,0.0,0.001
SAMN07312490,pangenome_mix,331285,665516,9736,0.332,0.971,0.495
SAMN07312490,pangenome_skes,322887,673914,7297,0.324,0.978,0.487
SAMN07312490,pangenome_uni,315956,680845,5881,0.317,0.982,0.479
SAMN07312490,skesa,344860,1113726,4446,0.236,0.987,0.382
SAMN07312490,unicycler,338491,691121,4163,0.329,0.988,0.493
SAMN07312490,pan_ske_diff,0,300285,330184,0.0,0.0,0.0
SAMN07312490,pan_uni_diff,0,374845,321837,0.0,0.0,0.0
SAMN07312490,pan_ass_diff,0,0,341021,0.0,0.0,0.0
SAMEA3357043,pangenome_mix,172357,1057,747,0.994,0.996,0.995
SAMEA3357043,pangenome_skes,167507,5907,746,0.966,0.996,0.981
SAMEA3357043,pangenome_uni,166898,6516,1,0.962,1.0,0.981
SAMEA3357043,skesa,169593,0,0,1.0,1.0,1.0
SAMEA3357043,unicycler,167956,0,0,1.0,1.0,1.0
SAMEA3357043,pan_ske_diff,0,4850,168253,0.0,0.0,0.0
SAMEA3357043,pan_uni_diff,0,5459,166899,0.0,0.0,0.0
SAMEA3357043,pan_ass_diff,0,0,173104,0.0,0.0,0.0
SAMN16357501,pangenome_mix,0,21696,8731,0.0,0.0,0.0
SAMN16357501,pangenome_skes,0,21696,8731,0.0,0.0,0.0
SAMN16357501,pangenome_uni,0,21696,8731,0.0,0.0,0.0
SAMN16357501,skesa,0,20306,8731,0.0,0.0,0.0
SAMN16357501,unicycler,0,18253,8731,0.0,0.0,0.0
SAMN16357501,pan_ske_diff,0,1905,8731,0.0,0.0,0.0
SAMN16357501,pan_uni_diff,0,3445,8731,0.0,0.0,0.0
SAMN16357501,pan_ass_diff,0,1085,8731,0.0,0.0,0.0
SAMEA3357010,pangenome_mix,171663,1057,1484,0.994,0.991,0.993
SAMEA3357010,pangenome_skes,166929,5791,1484,0.966,0.991,0.979
SAMEA3357010,pangenome_uni,166942,5778,0,0.967,1.0,0.983
SAMEA3357010,skesa,169592,0,0,1.0,1.0,1.0
SAMEA3357010,unicycler,167999,0,0,1.0,1.0,1.0
SAMEA3357010,pan_ske_diff,0,4734,168413,0.0,0.0,0.0
SAMEA3357010,pan_uni_diff,0,4721,166942,0.0,0.0,0.0
SAMEA3357010,pan_ass_diff,0,0,173147,0.0,0.0,0.0
SAMD00056131,pangenome_mix,122801,36768,51055,0.77,0.706,0.737
SAMD00056131,pangenome_skes,121143,38426,48963,0.759,0.712,0.735
SAMD00056131,pangenome_uni,119784,39785,44410,0.751,0.73,0.74
SAMD00056131,skesa,151054,9958,22394,0.938,0.871,0.903
SAMD00056131,unicycler,151011,9556,19390,0.94,0.886,0.913
SAMD00056131,pan_ske_diff,0,27007,170106,0.0,0.0,0.0
SAMD00056131,pan_uni_diff,1152,27849,163042,0.04,0.007,0.012
SAMD00056131,pan_ass_diff,43,24089,173813,0.002,0.0,0.0
