metric,TP,FP,FN,prec,rec,f1
pan_ass_diff,1700.9302325581396,62954.186046511626,240283.83720930232,0.16386046511627908,0.006093023255813954,0.01027906976744186
pan_ske_diff,11208.32558139535,154224.3023255814,221902.13953488372,0.12990697674418605,0.046209302325581396,0.05848837209302326
pan_uni_diff,2596.7906976744184,100809.53488372093,227076.83720930232,0.07897674418604651,0.010348837209302325,0.016279069767441864
pangenome_mix,223275.41860465117,239993.51162790696,18709.3488372093,0.6469767441860466,0.8366511627906976,0.694813953488372
pangenome_skes,216192.3023255814,247076.62790697673,16918.162790697676,0.6319767441860465,0.840906976744186,0.6863023255813954
pangenome_uni,215885.3023255814,247383.62790697673,13788.32558139535,0.6294186046511628,0.850767441860465,0.688046511627907
skesa,218567.51162790696,160638.6511627907,23224.279069767443,0.7635581395348837,0.8176511627906976,0.748953488372093
unicycler,226506.02325581395,504406.23255813954,10685.232558139534,0.5069767441860465,0.8662093023255814,0.5823255813953488
